,Unnamed: 0,Name,Team,Bye,Age,Pos,PosRank,Points,ADP
0,0,Travis Kelce,KC,12,31,TE,TE1,198.11,10.4
1,1,George Kittle,SF,6,27,TE,TE2,142.98,24.0
2,2,Darren Waller,LV,8,28,TE,TE3,147.72,29.0
3,3,Mark Andrews,BAL,8,25,TE,TE4,130.7,48.6
4,4,T.J. Hockenson,DET,9,24,TE,TE5,117.6,61.7
5,5,Kyle Pitts,ATL,6,20,TE,TE6,119.41,71.3
6,6,Hunter Henry,NE,14,26,TE,TE7,109.38,78.0
7,7,Rob Gronkowski,TB,9,32,TE,TE8,96.25,79.5
8,8,Evan Engram,NYG,10,26,TE,TE9,97.94,91.0
9,9,Logan Thomas,WAS,9,30,TE,TE10,85.93,95.1
10,10,Jonnu Smith,NE,14,25,TE,TE11,88.94,112.3
11,11,Mike Gesicki,MIA,14,25,TE,TE12,84.47,117.5
12,12,Dallas Goedert,PHI,14,26,TE,TE13,84.55,118.9
13,13,Zach Ertz,PHI,14,30,TE,TE14,82.29,125.7
14,15,Robert Tonyan,GB,13,27,TE,TE16,77.98,145.9
15,16,Gerald Everett,SEA,9,27,TE,TE17,79.5,147.0
16,17,Tyler Higbee,LAR,11,28,TE,TE18,74.03,148.2
17,18,Noah Fant,DEN,11,23,TE,TE19,80.0,150.6
18,19,Jared Cook,LAC,7,34,TE,TE20,80.23,153.4
19,20,Irv Smith Jr.,MIN,7,22,TE,TE21,70.37,154.0
20,21,Adam Trautman,NO,6,24,TE,TE22,75.68,158.5
21,22,Eric Ebron,PIT,7,28,TE,TE23,57.14,162.7
22,23,Anthony Firkser,TEN,13,26,TE,TE24,73.89,298.0
23,24,Austin Hooper,CLE,13,26,TE,TE25,72.19,302.0
24,25,Blake Jarwin,DAL,7,26,TE,TE26,68.55,305.0
25,26,Cole Kmet,CHI,10,22,TE,TE27,61.52,319.0
26,27,O.J. Howard,TB,9,26,TE,TE28,64.57,322.0
27,28,Hayden Hurst,ATL,6,27,TE,TE29,0.0,326.0
28,29,Dawson Knox,BUF,7,24,TE,TE30,54.21,329.0
29,30,Chris Herndon,NYJ,6,25,TE,TE31,57.3,337.0
30,31,Jimmy Graham,CHI,10,34,TE,TE32,20.03,344.0
31,32,Mo Alie-Cox,IND,14,27,TE,TE33,44.21,349.0
32,33,Jack Doyle,IND,14,31,TE,TE34,46.97,350.0
33,34,Jordan Akins,HOU,10,29,TE,TE35,41.44,352.0
34,35,Dalton Schultz,DAL,7,24,TE,TE36,56.56,355.0
35,36,Dan Arnold,CAR,13,26,TE,TE37,61.23,363.0
36,37,David Njoku,CLE,13,24,TE,TE38,49.13,370.0
37,38,C.J. Uzomah,CIN,10,28,TE,TE39,30.46,376.0
38,39,Tyler Conklin,MIN,7,25,TE,TE40,44.96,378.0
39,40,Will Dissly,SEA,9,24,TE,TE41,37.23,388.0
40,41,Harrison Bryant,CLE,13,23,TE,TE42,53.83,401.0
41,42,Cameron Brate,TB,9,30,TE,TE43,49.54,408.0
42,43,Jacob Hollister,BUF,7,27,TE,TE44,29.45,415.0
43,44,Albert Okwuegbunam,DEN,11,23,TE,TE45,48.74,416.0
44,45,Kenny Yeboah,NYJ,6,22,TE,TE46,11.39,419.0
45,46,Kyle Rudolph,NYG,10,31,TE,TE47,10.13,421.0
46,47,James O'Shaughnessy,JAX,7,29,TE,TE48,6.3,432.0
47,48,Donald Parham Jr.,LAC,7,23,TE,TE49,29.37,434.0
48,49,Pat Freiermuth,PIT,7,22,TE,TE50,17.81,437.0
