,Name,Team,Bye,Age,Pos,PosRank,Points,ADP
0,Travis Kelce,KC,10,31,TE,TE1,256.2,20.2
1,George Kittle,SF,11,27,TE,TE2,251.3,25
2,Mark Andrews,BAL,7,25,TE,TE3,208.4,42.1
3,Zach Ertz,PHI,9,30,TE,TE4,222.6,51
4,Darren Waller,LV,6,28,TE,TE5,193.7,60.4
5,Rob Gronkowski,TB,13,31,TE,TE6,173.8,69
6,Evan Engram,NYG,11,26,TE,TE7,169.8,75.4
7,Hayden Hurst,ATL,10,27,TE,TE8,192.5,79.1
8,Tyler Higbee,LAR,9,27,TE,TE9,169.7,83.5
9,Hunter Henry,LAC,6,26,TE,TE10,162.4,93.9
10,Jared Cook,NO,6,33,TE,TE11,149.9,111.3
11,Noah Fant,DEN,5,23,TE,TE12,146.1,114.7
12,Austin Hooper,CLE,9,26,TE,TE13,142.8,134.2
13,T.J. Hockenson,DET,5,23,TE,TE14,138.4,142
14,Mike Gesicki,MIA,7,25,TE,TE15,157.3,147.5
15,Jonnu Smith,TEN,4,25,TE,TE16,118.3,149.1
16,Blake Jarwin,DAL,10,26,TE,TE17,133.1,150.9
17,Chris Herndon,NYJ,10,24,TE,TE18,116.1,154.1
18,Dallas Goedert,PHI,9,25,TE,TE19,169,272
19,Jack Doyle,IND,7,30,TE,TE20,138.7,294
20,Eric Ebron,PIT,4,27,TE,TE21,135.1,302
21,Greg Olsen,SEA,6,35,TE,TE22,130.4,309
22,Jimmy Graham,CHI,11,34,TE,TE23,124.9,310
23,Irv Smith Jr.,MIN,7,22,TE,TE24,121.9,312
24,Jace Sternberger,GB,5,24,TE,TE25,118.2,315
25,Ian Thomas,CAR,13,24,TE,TE26,112,317
26,Gerald Everett,LAR,9,26,TE,TE27,111.4,318
27,Dawson Knox,BUF,11,24,TE,TE28,99.5,331
28,Kyle Rudolph,MIN,7,31,TE,TE29,95.8,335
29,Devin Asiasi,NE,5,23,TE,TE30,92.4,337
30,Darren Fells,HOU,8,34,TE,TE31,87.2,340
31,Tyler Eifert,JAX,8,30,TE,TE32,84.4,345
32,Nick Boyle,BAL,7,27,TE,TE33,77.4,354
33,Cole Kmet,CHI,11,21,TE,TE34,76.4,357
34,Logan Thomas,WAS,8,29,TE,TE35,73.6,359
35,C.J. Uzomah,CIN,9,27,TE,TE36,69.6,365
36,Dan Arnold,ARI,8,25,TE,TE37,66.5,366
37,Dalton Keene,NE,5,21,TE,TE38,65.9,367
38,Jason Witten,LV,6,38,TE,TE39,63.5,369
39,David Njoku,CLE,9,24,TE,TE40,59.2,374
40,James O'Shaughnessy,JAX,8,28,TE,TE41,57.8,376
41,Jordan Reed,SF,11,30,TE,TE42,56.2,380
42,Jeremy Sprinkle,WAS,8,26,TE,TE43,55.8,381
43,Cameron Brate,TB,13,29,TE,TE44,54.1,384
44,O.J. Howard,TB,13,26,TE,TE45,53.3,387
45,Jacob Hollister,SEA,6,27,TE,TE46,53.1,388
46,Vance McDonald,PIT,4,30,TE,TE47,51,390
47,Anthony Firkser,TEN,4,25,TE,TE48,49.9,393
48,Adam Shaheen,MIA,7,26,TE,TE49,48.7,394
49,Andrew Beck,DEN,5,24,TE,TE50,47.4,396
